Date,Open,High,Low,Close,Adj Close,Volume
27-07-2007,290,293.75,281.5,288.25,213.284546,3203236
30-07-2007,287.5,292.5,282.5625,284.112488,210.223114,1835848
31-07-2007,287.75,290.5,282.5,289.075012,213.894989,3218540
01-08-2007,286.25,286.25,277.75,278.787506,206.28302,4382172
02-08-2007,280,281.125,272.5,273.787506,202.583282,1912008
03-08-2007,278.5,278.5,270.875,274.225006,202.907043,1993184
06-08-2007,272.5,279.5,268.5,274.862488,203.378754,2737548
07-08-2007,278.274994,279.450012,273.524994,277.325012,205.200851,2985212
08-08-2007,287.5,292.25,279.5,288.149994,213.21051,4055164
09-08-2007,290,297.212494,283.799988,286.424988,211.934189,5074436
10-08-2007,278.75,288.375,270.100006,286.125,211.712204,6290560
13-08-2007,287.5,287.5,281.287506,283.625,209.862366,1205524
14-08-2007,283.75,285,280,282.5625,209.076187,1222796
16-08-2007,275,279.899994,271.25,272,201.260681,6663120
17-08-2007,272,273.25,259.799988,264.037506,195.369064,6901104
20-08-2007,270.875,274.850006,262.774994,263.887512,195.258087,4386844
21-08-2007,269.125,269.125,251.125,253.8125,187.803192,4363364
22-08-2007,255,258.174988,249,256.475006,189.773285,3826620
23-08-2007,258,262,251,251.975006,186.443634,3113748
24-08-2007,253.75,256.625,249.875,254.600006,188.385986,1926972
27-08-2007,256.237488,259.700012,255.012497,256.625,189.884308,2666856
28-08-2007,259,259.75,252.75,257.1875,190.300522,2263504
29-08-2007,255,259.950012,250.25,257.899994,190.827713,3196688
30-08-2007,260.5,264.75,256.25,261.5,193.491577,7003172
31-08-2007,263,267.424988,261.75,266.087494,196.885834,2377496
03-09-2007,267.5,268.75,263.350006,265.3125,196.312454,2496264
04-09-2007,266.25,271.924988,265.25,266.524994,197.20961,2182756
05-09-2007,266.75,270.737488,266.274994,268.087494,198.365829,3516964
06-09-2007,266.25,270.25,265.25,269.5,199.41095,1871860
07-09-2007,269.25,271.125,267.5,269.0625,199.087189,1691576
10-09-2007,269.0625,269.0625,261,261.8125,193.722702,2201060
11-09-2007,273.612488,273.612488,255,255.837494,189.30159,3386556
12-09-2007,257.5,259.4375,253.375,253.899994,187.867935,2344104
13-09-2007,256.225006,258.75,252.600006,257.700012,190.679703,2153072
14-09-2007,262.5,262.5,254.524994,255.612503,189.135117,1900228
17-09-2007,256.25,257.950012,248.925003,249.412506,184.547577,5086176
18-09-2007,249.25,251.925003,248.25,250.612503,185.435501,4942808
19-09-2007,256.25,258.424988,254.300003,255.762497,189.246124,4642668
20-09-2007,255,255.524994,249.300003,250.512497,185.361465,2355156
21-09-2007,247.75,256.25,244.5,254.449997,188.274994,7928660
24-09-2007,255,257.5,250.050003,251.8125,186.323395,3595068
25-09-2007,252.5,253.5,249.050003,250.425003,185.296722,5400496
26-09-2007,252.5,262.200012,251.25,260.1875,192.520355,8340892
27-09-2007,262.5,266.875,261.75,265.625,196.54364,8602140
28-09-2007,256.25,270,256.25,265.037506,196.108994,6249532
01-10-2007,265.25,265.25,255.75,260.412506,192.686829,2176580
03-10-2007,262.5,273.75,262.475006,269.799988,199.632858,5122872
04-10-2007,271.25,271.25,263.5,269.825012,199.651382,4359804
05-10-2007,269.825012,269.825012,264.325012,268.200012,198.44899,1744048
08-10-2007,270.262512,274.700012,265.549988,269.587494,199.475647,2662144
09-10-2007,270,276.200012,268.825012,273.737488,202.546356,3707640
10-10-2007,276.174988,282.5625,274.600006,281.375,208.19754,3983236
11-10-2007,283.75,283.850006,265,268,198.301041,5598340
12-10-2007,263,268.75,257.575012,265.875,196.728683,4912920
15-10-2007,267.5,272.912506,264.9375,268.537506,198.698776,6871600
16-10-2007,275,278.75,265.25,267.100006,197.635071,7060528
17-10-2007,265,278.75,250,273.674988,202.500046,6924440
18-10-2007,283.75,287.475006,269.325012,280.962494,207.892365,13645436
19-10-2007,286.962494,287.5,270.600006,277.212494,205.117615,8094132
22-10-2007,279.25,279.25,266.274994,267.987488,198.829742,3836808
23-10-2007,267,275,264.75,265.899994,197.280884,5862364
24-10-2007,275,275,260.825012,262,194.387299,4100988
25-10-2007,264.75,265,259.537506,262.399994,194.684067,4925272
26-10-2007,262.5,271,260.549988,267.825012,198.709167,2960060
29-10-2007,272.25,272.5,265.350006,267,198.097031,3536052
30-10-2007,268,268.75,260.075012,262.125,194.480118,3145804
31-10-2007,261.75,265.924988,254.25,259.5,192.532455,47216528
01-11-2007,263.75,263.75,254.875,255.762497,189.759506,5518404
02-11-2007,252.5,257.5,250.75,255.300003,189.416367,3494680
05-11-2007,255.25,257.700012,251.3125,252.824997,187.580063,1876468
06-11-2007,253.75,254.949997,250,251.074997,186.281677,2198988
07-11-2007,251.274994,252.287506,246.524994,249.262497,184.936966,3504016
08-11-2007,247.524994,249.949997,245,247.412506,183.564331,2686964
12-11-2007,246.3125,246.3125,240,240.962494,178.778885,5280988
13-11-2007,240.962494,243.175003,231.662506,236.837494,175.718353,4697988
14-11-2007,240,261.274994,240,246.675003,183.017181,3588368
15-11-2007,247.75,249.475006,242.5,245.050003,181.811493,2295396
16-11-2007,245,249.5,241.787506,245.725006,182.312378,3666816
19-11-2007,240.024994,251.75,240.024994,248.375,184.278488,2943548
20-11-2007,247.25,247.25,239.524994,240.324997,178.305893,4111392
21-11-2007,240.324997,245,234,236.199997,175.245392,3337028
22-11-2007,242.425003,242.425003,233.75,237.550003,176.246964,2402356
23-11-2007,238.125,241.5,237.4375,240.237503,178.240952,2273540
26-11-2007,245,248.5,242.5,246.274994,182.720383,2234300
27-11-2007,247.625,249.725006,242.524994,248.987503,184.732925,1503964
